Common Name,Scientific Name,Count,Reporting Rate
Wonga Pigeon,Leucosarcia melanoleuca,3983,2.04%
Bar-tailed Godwit,Limosa lapponica,3954,2.03%
Mistletoebird,Dicaeum hirundinaceum,3771,1.93%
Scaly-breasted Lorikeet,Trichoglossus chlorolepidotus,3755,1.92%
Wedge-tailed Eagle,Aquila audax,3643,1.87%
Brown Goshawk,Accipiter fasciatus,3571,1.83%
Long-billed Corella,Cacatua tenuirostris,3567,1.83%
Blue-faced Honeyeater,Entomyzon cyanotis,3539,1.81%
Double-barred Finch,Taeniopygia bichenovii,3490,1.79%
Tree Martin,Petrochelidon nigricans,3486,1.79%
White-throated Gerygone,Gerygone olivacea,3481,1.78%
Far Eastern Curlew,Numenius madagascariensis,3449,1.77%
Fairy Martin,Petrochelidon ariel,3431,1.76%
Tawny Frogmouth,Podargus strigoides,3312,1.70%
Cattle Egret,Bubulcus ibis,3302,1.69%
Australasian Pipit,Anthus novaeseelandiae,3094,1.59%
Little Egret,Egretta garzetta,3088,1.58%
Black-fronted Dotterel,Elseyornis melanops,3056,1.57%
Rufous Fantail,Rhipidura rufifrons,3042,1.56%
Leaden Flycatcher,Myiagra rubecula,2845,1.46%
Little Grassbird,Poodytes gramineus,2800,1.43%
Caspian Tern,Hydroprogne caspia,2780,1.42%
Brown-headed Honeyeater,Melithreptus brevirostris,2724,1.40%
Peaceful Dove,Geopelia placida,2694,1.38%
Sooty Oystercatcher,Haematopus fuliginosus,2677,1.37%
Whistling Kite,Haliastur sphenurus,2653,1.36%
Australasian Shoveler,Spatula rhynchotis,2614,1.34%
Topknot Pigeon,Lopholaimus antarcticus,2607,1.34%
Little Lorikeet,Glossopsitta pusilla,2551,1.31%
Jacky Winter,Microeca fascinans,2488,1.27%
Black-faced Monarch,Monarcha melanopsis,2478,1.27%
White-headed Pigeon,Columba leucomela,2475,1.27%
Australasian Gannet,Morus serrator,2467,1.26%
Shining Bronze-Cuckoo,Chalcites lucidus,2458,1.26%
Black-shouldered Kite,Elanus axillaris,2359,1.21%
Latham's Snipe,Gallinago hardwickii,2347,1.20%
Superb Parrot,Polytelis swainsonii,2291,1.17%
Domestic Duck,,2286,1.17%
Swamp Harrier,Circus approximans,2282,1.17%
Osprey,Pandion haliaetus,2218,1.14%
White-breasted Woodswallow,Artamus leucorynchus,2212,1.13%
European Goldfinch,Carduelis carduelis,2191,1.12%
Pink-eared Duck,Malacorhynchus membranaceus,2141,1.10%
Speckled Warbler,Pyrrholaemus sagittatus,2068,1.06%
Brown Quail,Synoicus ypsilophorus,2049,1.05%
Plumed Egret,Ardea plumifera,1945,1.00%
Varied Sittella,Daphoenositta chrysoptera,1915,0.98%
Striated Heron,Butorides striata,1842,0.94%
Fuscous Honeyeater,Ptilotula fusca,1837,0.94%
Southern Boobook,Ninox boobook,1830,0.94%
Hoary-headed Grebe,Poliocephalus poliocephalus,1829,0.94%
Yellow-tufted Honeyeater,Lichenostomus melanops,1810,0.93%
White-necked Heron,Ardea pacifica,1809,0.93%
Yellow-throated Scrubwren,Sericornis citreogularis,1759,0.90%
Brown Honeyeater,Lichmera indistincta,1723,0.88%
Rose Robin,Petroica rosea,1704,0.87%
Rainbow Bee-eater,Merops ornatus,1674,0.86%
Australian Hobby,Falco longipennis,1663,0.85%
Restless Flycatcher,Myiagra inquieta,1624,0.83%
Grey Goshawk,Accipiter novaehollandiae,1597,0.82%
Peregrine Falcon,Falco peregrinus,1558,0.80%
Brown Treecreeper,Climacteris picumnus,1512,0.77%
Scarlet Robin,Petroica boodang,1504,0.77%
White-winged Triller,Lalage tricolor,1503,0.77%
Tawny Grassbird,Cincloramphus timoriensis,1498,0.77%
Crested Shrike-tit,Falcunculus frontatus,1488,0.76%
Red-capped Plover,Charadrius ruficapillus,1476,0.76%
Brown Falcon,Falco berigora,1461,0.75%
White-throated Needletail,Hirundapus caudacutus,1440,0.74%
Large-billed Scrubwren,Sericornis magnirostra,1434,0.73%
Rufous Songlark,Cincloramphus mathewsi,1382,0.71%
Glossy Black-Cockatoo,Calyptorhynchus lathami,1376,0.70%
Collared Sparrowhawk,Accipiter cirrocephalus,1361,0.70%
Striped Honeyeater,Plectorhyncha lanceolata,1351,0.69%
Azure Kingfisher,Ceyx azureus,1347,0.69%
Green Catbird,Ailuroedus crassirostris,1347,0.69%
Red-necked Avocet,Recurvirostra novaehollandiae,1217,0.62%
Domestic Goose,,1197,0.61%
Torresian Crow,Corvus orru,1183,0.61%
Sharp-tailed Sandpiper,Calidris acuminata,1167,0.60%
Diamond Firetail,Stagonopleura guttata,1160,0.59%
Buff-banded Rail,Hypotaenidia philippensis,1120,0.57%
Musk Duck,Biziura lobata,1078,0.55%
Red-necked Stint,Calidris ruficollis,1070,0.55%
Little Tern,Sternula albifrons,1064,0.55%
Crow & Raven spp,,983,0.50%
Common Cicadabird,Edolisoma tenuirostre,977,0.50%
Australian Owlet-nightjar,Aegotheles cristatus,969,0.50%
Eurasian Skylark,Alauda arvensis,944,0.48%
Square-tailed Kite,Lophoictinia isura,922,0.47%
Red-kneed Dotterel,Erythrogonys cinctus,910,0.47%
Rockwarbler,Origma solitaria,887,0.45%
Western Gerygone,Gerygone fusca,866,0.44%
Southern Emu-wren,Stipiturus malachurus,865,0.44%
Whimbrel,Numenius phaeopus,863,0.44%
Grey-crowned Babbler,Pomatostomus temporalis,841,0.43%
Bassian Thrush,Zoothera lunulata,839,0.43%
Pacific Golden Plover,Pluvialis fulva,836,0.43%
Stubble Quail,Coturnix pectoralis,828,0.42%
Blue-billed Duck,Oxyura australis,798,0.41%
Brush Cuckoo,Cacomantis variolosus,777,0.40%
Spangled Drongo,Dicrurus bracteatus,776,0.40%
Grey Currawong,Strepera versicolor,756,0.39%
Corella spp,,755,0.39%
Nankeen Night-Heron,Nycticorax caledonicus,746,0.38%
Horsfield's Bronze-Cuckoo,Chalcites basalis,739,0.38%
Great Crested Grebe,Podiceps cristatus,737,0.38%
Kelp Gull,Larus dominicanus,704,0.36%
Ruddy Turnstone,Arenaria interpres,682,0.35%
White-bellied Cuckoo-shrike,Coracina papuensis,676,0.35%
Pallid Cuckoo,Heteroscenes pallidus,670,0.34%
Black Duck-Mallard hybrid,,670,0.34%
Grey-tailed Tattler,Tringa brevipes,653,0.33%
White-fronted Chat,Epthianura albifrons,647,0.33%
Little Eagle,Hieraaetus morphnoides,646,0.33%
Spiny-cheeked Honeyeater,Acanthagenys rufogularis,633,0.32%
Regent Bowerbird,Sericulus chrysocephalus,596,0.31%
Zebra Finch,Taeniopygia castanotis,586,0.30%
Australian Shelduck,Tadorna tadornoides,586,0.30%
Double-banded Plover,Charadrius bicinctus,563,0.29%
Painted Button-quail,Turnix varius,558,0.29%
Pheasant Coucal,Centropus phasianinus,554,0.28%
Red Knot,Calidris canutus,547,0.28%
Wedge-tailed Shearwater,Ardenna pacifica,546,0.28%
Fairy-wren spp,,542,0.28%
White-browed Babbler,Pomatostomus superciliosus,541,0.28%
Chestnut-rumped Heathwren,Calamanthus pyrrhopygius,534,0.27%
Red-browed Treecreeper,Climacteris erythrops,526,0.27%
Hooded Robin,Melanodryas cucullata,523,0.27%
Curlew Sandpiper,Calidris ferruginea,514,0.26%
Muscovy Duck,Cairina moschata,514,0.26%
Pacific Baza,Aviceda subcristata,511,0.26%
Mallard,Anas platyrhynchos,507,0.26%
Lewin's Rail,Lewinia pectoralis,453,0.23%
Flame Robin,Petroica phoenicea,449,0.23%
Southern Whiteface,Aphelocephala leucopsis,443,0.23%
Beautiful Firetail,Stagonopleura bella,443,0.23%
Yellow-billed Spoonbill,Platalea flavipes,433,0.22%
Mangrove Gerygone,Gerygone levigaster,432,0.22%
Brush Bronzewing,Phaps elegans,397,0.20%
Brahminy Kite,Haliastur indus,394,0.20%
Eastern Bristlebird,Dasyornis brachypterus,393,0.20%
Eastern Reef Egret,Egretta sacra,390,0.20%
Spotless Crake,Zapornia tabuensis,381,0.20%
Spotted Quail-thrush,Cinclosoma punctatum,380,0.19%
Crescent Honeyeater,Phylidonyris pyrrhopterus,372,0.19%
Pilotbird,Pycnoptilus floccosus,360,0.18%
Swift Parrot,Lathamus discolor,353,0.18%
Chestnut-breasted Mannikin,Lonchura castaneothorax,345,0.18%
Tawny-crowned Honeyeater,Gliciphila melanops,344,0.18%
Magpie Goose,Anseranas semipalmata,340,0.17%
Freckled Duck,Stictonetta naevosa,325,0.17%
Common Tern,Sterna hirundo,323,0.17%
Black-tailed Godwit,Limosa limosa,307,0.16%
Australian Gull-billed Tern,Gelochelidon macrotarsa,295,0.15%
