Gray-headed Albatross,gyhalb
Buller's Albatross,bulalb2
White-capped Albatross,whcalb1
Salvin's Albatross,salalb1
Chatham Albatross,shyalb2
Black-browed Albatross,bkbalb
Wilson's Storm-Petrel,wispet
Gray-backed Storm-Petrel,gybstp1
White-faced Storm-Petrel,wfspet
White-bellied Storm-Petrel,wbspet1
New Zealand Storm-Petrel,nezstp1
New Caledonian Storm-Petrel,necstp1
Black-bellied Storm-Petrel,bbspet1
Band-rumped Storm-Petrel,barpet
Matsudaira's Storm-Petrel,maspet2
Tristram's Storm-Petrel,trspet
Southern Giant-Petrel,angpet1
Northern Giant-Petrel,norgip1
Southern Fulmar,souful1
Cape Petrel,cappet
Great-winged Petrel,grwpet3
Gray-faced Petrel,grwpet2
Kermadec Petrel,kerpet
Herald Petrel,herpet2
Providence Petrel,solpet1
Soft-plumaged Petrel,soppet1
Barau's Petrel,barpet1
White-headed Petrel,whhpet1
Mottled Petrel,motpet
Juan Fernandez Petrel,jufpet
White-necked Petrel,whnpet
Black-winged Petrel,bkwpet
Cook's Petrel,coopet
Gould's Petrel,goupet1
Collared Petrel,colpet1
Blue Petrel,blupet1
Fairy Prion,faipri1
Salvin's Prion,salpri2
Antarctic Prion,dovpri1
Slender-billed Prion,slbpri1
Fulmar Prion,fulpri1
Bulwer's Petrel,bulpet
Tahiti Petrel,tahpet1
White-chinned Petrel,whcpet1
Parkinson's Petrel,parpet1
Westland Petrel,wespet1
Streaked Shearwater,strshe
Flesh-footed Shearwater,flfshe
Great Shearwater,greshe
Wedge-tailed Shearwater,wetshe
Buller's Shearwater,bulshe
Sooty Shearwater,sooshe
Short-tailed Shearwater,shtshe
Hutton's Shearwater,hutshe1
Fluttering Shearwater,flushe1
Little Shearwater,litshe8
Tropical Shearwater,troshe5
Common Diving-Petrel,codpet1
Black-necked Stork,blnsto1
Lesser Frigatebird,lesfri
Great Frigatebird,grefri
Australasian Gannet,ausgan1
Red-footed Booby,refboo
Brown Booby,brnboo
Masked Booby,masboo
Australasian Darter,darter4
Little Pied Cormorant,lipcor1
Great Cormorant,grecor
Little Black Cormorant,libcor1
Pied Cormorant,piecor1
Black-faced Cormorant,blfcor1
Australian Pelican,auspel1
Australasian Bittern,ausbit1
Black Bittern,blabit1
Black-backed Bittern,bkbbit1
Nankeen Night Heron,runher1
Pacific Reef-Heron,pacreh1
Little Egret,litegr
Pied Heron,pieher2
White-faced Heron,whfher1
Striated Heron,strher
Eastern Cattle Egret,categr2
Pacific Heron,pacher1
Great Egret,greegr
Plumed Egret,integr2
Glossy Ibis,gloibi
Australian Ibis,ausibi1
Straw-necked Ibis,stnibi1
Royal Spoonbill,royspo1
Yellow-billed Spoonbill,yebspo1
Osprey,osprey
Black-shouldered Kite,auskit1
Letter-winged Kite,lewkit1
Black-breasted Kite,bkbkit1
Square-tailed Kite,sqtkit1
Pacific Baza,pacbaz1
Little Eagle,liteag1
Wedge-tailed Eagle,weteag1
Swamp Harrier,swahar1
Spotted Harrier,spohar1
Gray Goshawk,grygos1
Brown Goshawk,brogos1
Collared Sparrowhawk,colspa1
Black Kite,blakit1
Whistling Kite,whikit1
Brahminy Kite,brakit1
White-bellied Sea-Eagle,wbseag1
Sooty Owl,sooowl1
Australian Masked-Owl,aumowl1
Australasian Grass-Owl,ausgro1
Barn Owl,brnowl
Powerful Owl,powowl1
Barking Owl,barowl1
Southern Boobook,souboo8
Azure Kingfisher,azukin1
Laughing Kookaburra,laukoo1
Red-backed Kingfisher,rebkin2
Forest Kingfisher,forkin1
Torresian Kingfisher,colkin9
Sacred Kingfisher,sackin1
Rainbow Bee-eater,rabeat1
Dollarbird,dollar1
Nankeen Kestrel,auskes1
Australian Hobby,aushob1
Brown Falcon,brofal1
Gray Falcon,gryfal1
Black Falcon,blafal1
Peregrine Falcon,perfal
Yellow-tailed Black-Cockatoo,ytbcoc1
Red-tailed Black-Cockatoo,rtbcoc1
Glossy Black-Cockatoo,glbcoc1
Cockatiel,cockat
Gang-gang Cockatoo,gagcoc1
Galah,galah
Pink Cockatoo,pincoc1
Little Corella,litcor2
Long-billed Corella,lobcor1
Sulphur-crested Cockatoo,succoc
Superb Parrot,suppar1
Regent Parrot,regpar1
Princess Parrot,alepar1
Australian King-Parrot,aukpar1
Red-winged Parrot,rewpar1
Papuan Eclectus,eclpar4
Alexandrine Parakeet,alepar2
Rose-ringed Parakeet,rorpar
Ground Parrot,gropar1
Bourke's Parrot,boupar2
Blue-winged Parrot,blwpar3
Orange-bellied Parrot,orbpar1
Turquoise Parrot,turpar1
Scarlet-chested Parrot,sccpar1
Swift Parrot,swipar1
Australian Ringneck,polpar1
Crimson Rosella,criros2
Eastern Rosella,easros1
Pale-headed Rosella,pahros1
Greater Bluebonnet,bluebo1
Red-rumped Parrot,rerpar1
Mulga Parrot,mulpar1
Budgerigar,budger
Little Lorikeet,litlor1
Purple-crowned Lorikeet,puclor1
Musk Lorikeet,muslor1
Scaly-breasted Lorikeet,scblor1
Coconut Lorikeet,railor4
Rainbow Lorikeet,railor5
Red-collared Lorikeet,railor7
Rosy-faced Lovebird,peflov
Yellow-collared Lovebird,yeclov
Gray Parrot,grepar
Black-headed Parrot,blhpar4
Blue-and-yellow Macaw,baymac
Blue-throated Macaw,bltmac1
Scarlet Macaw,scamac1
Red-and-green Macaw,ragmac1
Noisy Pitta,noipit1
Albert's Lyrebird,alblyr1
Superb Lyrebird,suplyr1
Rufous Scrub-bird,rusbir1
Green Catbird,grecat1
Regent Bowerbird,regbow1
Satin Bowerbird,satbow1
Spotted Bowerbird,spobow1
White-throated Treecreeper,whttre3
White-browed Treecreeper,whbtre2
Red-browed Treecreeper,rebtre1
Brown Treecreeper,brotre2
Gray Grasswren,grygra1
Striated Grasswren,strgra2
Thick-billed Grasswren,thbgra4
Eyrean Grasswren,eyrgra1
Southern Emuwren,souemu1
Purple-backed Fairywren,varfai1
Variegated Fairywren,varfai5
Splendid Fairywren,splfai1
Superb Fairywren,supfai1
White-winged Fairywren,whwfai1
Red-backed Fairywren,rebfai1
Eastern Spinebill,easspi1
Pied Honeyeater,piehon1
Lewin's Honeyeater,lewhon1
White-fronted Honeyeater,whfhon1
Yellow-faced Honeyeater,yefhon1
Yellow-tufted Honeyeater,yethon3
Bell Miner,belmin1
Noisy Miner,noimin1
Yellow-throated Miner,yetmin1
Black-eared Miner,blemin1
Spiny-cheeked Honeyeater,spchon1
Little Wattlebird,bruwat1
Regent Honeyeater,reghon1
Red Wattlebird,redwat1
Mangrove Honeyeater,manhon1
Singing Honeyeater,sinhon1
Yellow-plumed Honeyeater,yephon1
White-plumed Honeyeater,whphon1
Fuscous Honeyeater,fushon1
Gray-fronted Honeyeater,gyfhon1
Gibber Chat,descha1
Crimson Chat,cricha1
Orange Chat,oracha1
White-fronted Chat,whfcha1
Black Honeyeater,blahon1
Dusky Myzomela,dusmyz1
Scarlet Myzomela,scamyz1
Tawny-crowned Honeyeater,tachon1
Brown Honeyeater,brohon1
Crescent Honeyeater,crehon2
New Holland Honeyeater,nehhon2
White-cheeked Honeyeater,whchon2
White-eared Honeyeater,whehon1
Blue-faced Honeyeater,blfhon1
White-throated Honeyeater,whthon1
White-naped Honeyeater,whnhon2
Brown-headed Honeyeater,brhhon1
Black-chinned Honeyeater,blchon2
Striped Honeyeater,strhon1
Painted Honeyeater,paihon1
Little Friarbird,litfri1
Noisy Friarbird,noifri1
Eastern Bristlebird,easbri1
Spotted Pardalote,spopar1
Red-browed Pardalote,rebpar6
Striated Pardalote,strpar1
Pilotbird,pilotb1
Redthroat,redthr1
Speckled Warbler,spewar3
Shy Heathwren,shyhea1
Chestnut-rumped Heathwren,chrhea1
Striated Fieldwren,strfie1
Rufous Fieldwren,ruffie2
Weebill,weebil1
Yellow-throated Scrubwren,yetscr1
Rockwarbler,rocwar1
White-browed Scrubwren,whbscr1
Large-billed Scrubwren,labscr2
Southern Whiteface,souwhi1
Banded Whiteface,banwhi1
Yellow-rumped Thornbill,yertho1
Yellow Thornbill,yeltho1
Striated Thornbill,strtho1
Inland Thornbill,inltho1
Brown Thornbill,brotho1
Slaty-backed Thornbill,slbtho1
Chestnut-rumped Thornbill,chrtho1
Buff-rumped Thornbill,burtho1
Brown Gerygone,broger1
White-throated Gerygone,whtger1
Mangrove Gerygone,manger1
Western Gerygone,wesger1
Gray-crowned Babbler,gycbab1
White-browed Babbler,whbbab3
Hall's Babbler,halbab1
Chestnut-crowned Babbler,chcbab2
Australian Logrunner,soulog1
Spotted Quail-thrush,spqthr1
Chestnut Quail-thrush,chequt1
Chestnut-breasted Quail-thrush,cbqthr1
Cinnamon Quail-thrush,ciqthr1
Ground Cuckooshrike,grocus1
Barred Cuckooshrike,yeecus1
Black-faced Cuckooshrike,bkfcus1
White-bellied Cuckooshrike,whbcus1
White-winged Triller,whwtri1
Varied Triller,vartri1
Common Cicadabird,cicada1
Varied Sittella,varsit8
Eastern Whipbird,easwhi1
Chirruping Wedgebill,chiwed2
Crested Bellbird,crebel1
Eastern Shrike-tit,cresht1
Gray Shrikethrush,grysht1
Rufous Shrikethrush,litshr2
Olive Whistler,oliwhi1
Red-lored Whistler,relwhi1
Gilbert's Whistler,gilwhi1
Golden Whistler,golwhi1
Western Whistler,weswhi2
Rufous Whistler,rufwhi1
Olive-backed Oriole,olbori1
Australasian Figbird,ausfig1
White-breasted Woodswallow,whbwoo4
Masked Woodswallow,maswoo1
White-browed Woodswallow,whbwoo5
Black-faced Woodswallow,blfwoo1
Dusky Woodswallow,duswoo1
Little Woodswallow,litwoo4
Gray Butcherbird,grybut1
Pied Butcherbird,piebut1
Australian Magpie,ausmag2
Pied Currawong,piecur1
Gray Currawong,grycur1
Willie-wagtail,wilwag1
Australian Rufous Fantail,ruffan13
