White-winged Chough,Corcorax melanorhamphos,7501,3.84%
Musk Lorikeet,Glossopsitta concinna,7294,3.74%
Great Egret,Ardea alba,7169,3.67%
Scarlet Honeyeater,Myzomela sanguinolenta,7157,3.67%
Fan-tailed Cuckoo,Cacomantis flabelliformis,6973,3.57%
Bell Miner,Manorina melanophrys,6817,3.49%
White-bellied Sea-Eagle,Haliaeetus leucogaster,6554,3.36%
Channel-billed Cuckoo,Scythrops novaehollandiae,5835,2.99%
Straw-necked Ibis,Threskiornis spinicollis,5661,2.90%
Nankeen Kestrel,Falco cenchroides,5645,2.89%
Pied Butcherbird,Cracticus nigrogularis,5602,2.87%
Oriental Dollarbird,Eurystomus orientalis,5602,2.87%
Bar-shouldered Dove,Geopelia humeralis,5563,2.85%
Royal Spoonbill,Platalea regia,5547,2.84%
Gang-gang Cockatoo,Callocephalon fimbriatum,5102,2.61%
White-naped Honeyeater,Melithreptus lunatus,4999,2.56%
Pied Stilt,Himantopus leucocephalus,4941,2.53%
Australian Pied Oystercatcher,Haematopus longirostris,4872,2.50%
